"Uterus_A (RefSig 13)","Uterus_B (RefSig 10)","Uterus_C (RefSig MMR1)","Uterus_D (RefSig MMR2)","Uterus_E (RefSig MMR2)","Uterus_F (RefSig 8+3)","Uterus_G (RefSig 2)","Uterus_H (RefSig 1+18+N1)","Uterus_I (RefSig 1)","Uterus_J (RefSig MMR1)"
9.56154233064924e-05,7.26564438463168e-05,0.00091619937462065,0.000708595858141893,0.000863452578159274,0.0020936441691332,0.000793746123641367,0.0046940837542994,0.004016421982141,0.000952921747680254
3.60919548666619e-07,0.00789742196882308,0.00469239424884078,0.00156132191826471,0.00317732467427785,0.0128630400366541,0.0028595820430394,0.0155608478405642,0.0130223588536064,0.00958188635530622
0.0304701136245297,0.0681790716878366,0.00236823294947666,0.00185021554905149,0.00408925341470285,0.0113274521334003,0.0340679788211846,0.026172264439521,0.02406058870814,0.00322155529714418
0.013445901314053,0.00590160043897624,0.00494397155495516,0.000710235419149728,0.00307780260962494,0.0182077130737756,0.0123786607551762,0.0140538950294704,0.0206171985695876,0.00422122482675757
0.00294659641324779,0.00144857355174458,0.00139924070823792,3.63911333094333e-23,0.00148053315330868,0.00212843534290698,8.9895923484999e-22,0.000621995244623553,0.00701373048361947,0.000496087308966324
0.0011299015302689,0.433627004655763,0.00157216972261802,0.00300589356411048,0.000763309763631599,0.00665769191852628,0.0162837231989009,0.0382123726245968,0.0109595898732726,0.0241219691882453
0.00601842819716682,0.000262060312234896,0.0046948897178947,0.000663167549140008,0.00767951095849516,0.0196686065018441,0.00299312738190901,1.26917255524633e-16,0.00448155331634078,0.00792828990805973
0.0015796157397568,0.000177423345668527,0.00165613011587479,0.000708438646877061,0.00217561033501723,0.0110429171060731,0.00241255829022722,0.00102164198559131,0.00268076804247179,0.00232304436166323
0.00142451927534886,1.37304345512467e-07,0.00096677744063298,0.000244891465018431,4.7514297892227e-23,0.012379361096836,4.90495619992684e-23,6.21977025834085e-23,0.00325757974212229,0.00153091027244462
0.0064847643755422,0.000174996651871027,0.00305458476466085,0.00231088734685319,0.00610970292213696,0.0190655850377452,0.00186135259091589,0.00304359205700533,0.00715731569504838,0.00683996073589765
0.0052255267450225,6.46850712800878e-05,0.000415824286150704,3.63911333094333e-23,0.00011400378329634,0.0138701054414924,0.00179831355440508,6.21977025834085e-23,0.00268934616870645,0.00312255899928712
0.00189491427383116,7.4990167647249e-05,0.000521224452688491,0.000161472021496948,0.000447015968690972,0.0126749944240926,0.00121250214944841,2.70064516482343e-08,0.00264730951077056,0.00163037291371096
0.000102577703082352,1.15007792633203e-05,0.000612348817818851,4.04311891094871e-05,0.000427480071340774,0.00805771250025358,0.000823466531416347,6.21977025834085e-23,0.00449535588469937,0.000911101900045389
0.00751802129045366,9.17607461346823e-05,0.000659380654334137,0.000385878912548343,1.40562782197091e-09,0.0186203969801936,0.00292649254631881,6.21977025834085e-23,0.00514525323827248,0.00353066407668521
0.00240060238728543,0.000243829691091619,0.000788955834088309,6.58605640155074e-05,0.000923750439884975,0.00793011574904192,0.00228424419886429,1.06832104828959e-12,0.00235523584537731,0.00661083395791455
0.00241279024349295,0.000127265549214694,0.0024752778928386,0.00062977026244513,0.00496468821989174,0.00806879659874059,0.000849404521119416,6.21977025834085e-23,0.00325598826897266,0.00565574292342274
0.00054604704299995,3.39997438162407e-13,0.000697521622439286,5.25103837084662e-05,0.000362188209750506,0.00512226392345638,4.90495619992684e-23,0.000885209956104883,0.00115825423555491,0.000222840222244909
0.00537184639285261,0.000220497797782621,0.00162761556771885,0.00086832635445682,0.00219695564990289,0.0129581962587897,0.00200624616992632,6.03581773614611e-14,0.00327562029055859,0.00477536687836585
0.204650639322925,6.4587214474408e-16,2.52370447262172e-17,0.000475263747742812,1.37457925085316e-09,0.0030462105319087,0.099648171977892,0.00335897576949759,3.01312014016461e-14,5.92731441391548e-08
0.0438848487630864,4.20144275490112e-05,0.00109080222191452,0.000267905062529149,7.87742340308651e-05,0.015631315584971,0.0269396485262493,0.00303867239812888,0.00282429855127148,0.00364650850285642
0.00982722980319706,1.56580679334745e-05,0.000471778027566533,0.00012466961570861,0.000549561218954768,0.00578621262628572,4.90495619992684e-23,6.21977025834085e-23,0.00324741270659492,0.000982895004588533
0.261892390843174,0.000129630655565597,0.00206255008653163,0.00167621708242554,0.00562116678821121,0.0197780741184915,0.11707859579448,0.00421357124737406,0.00603117665687562,0.00507461594837854
0.00836544043136559,0.000604034964581171,0.0650545465169418,0.0104303446450046,0.011422023029716,0.0132328960750019,0.00155981936507844,0.031993306293501,0.0179751337694354,0.0393888401904716
0.00218489375307533,0.00357589546579254,0.0220470364004834,0.00319805985656254,0.00513934928080705,0.0102042548316475,0.00300583547820458,1.22463979501048e-05,0.015054242700049,0.0178054052225034
0.00998946272953831,0.00951971635752944,0.0600746678271293,0.0192214019065074,0.00439952378507005,0.0154066882907286,0.00795684360660788,0.0627022718051364,0.137292763611692,0.00389038019098645
0.00267745900854034,0.00587362518287926,0.0221400472838036,0.00354722650968546,0.00295593670948017,0.0250922625751964,0.00467809257531609,0.0135033180962097,0.0121229964828467,0.0204176546849769
0.00742931223863293,0.000392758375379527,0.0136130334545619,0.000138442393035901,0.00661730194424094,0.0146753567214863,0.0130500428567788,0.0124066329736737,0.0238654409164832,0.0187469914315766
0.000725573883860231,0.000949174832194239,0.0156419798853681,0.00139796091428199,0.0121531561364396,0.0118871077505031,0.00585544619976575,0.00564722642330545,0.0219084274169507,0.0160937604576435
0.0116120526684226,0.00177900036348091,0.0431798394286614,0.0115777129973233,0.0127564816209476,0.00863679135419448,0.00437283184266476,0.0326419948381223,0.0787739213821087,0.00147460904084929
0.00632561083459751,0.00142064752277851,0.0131953795899415,0.00169431632996736,0.0120634116076703,0.02017506912423,0.00711121758722671,0.0186702508902071,0.0218960283311901,0.016494139603372
0.00638151973672761,0.00151158510185298,0.0651191003998754,0.00627898260589117,2.68779241123317e-08,0.00743734923256675,0.00404661838654133,0.00530782873912833,0.0076418579109478,0.0430396975621621
0.00372874065266762,0.0105799991911937,0.055065096079755,0.0135010123365399,0.0128024019587775,1.51450653915037e-10,0.00292627135516625,0.0188521599153393,0.00558359795083846,0.040078757254651
0.00762863870654066,0.0141547693998388,0.0633973974526321,0.0206994578804293,0.0285174604434958,0.00288069916118578,0.00396741909454863,0.0510926410712277,0.0870746692207843,0.0293337745290429
0.00387274303173649,0.0124441005428038,0.0452173766275989,0.0082550940025732,0.00522376900730747,0.00877043414425651,0.00627051044372777,0.00991673093172112,0.010966491709848,0.0393720073400091
0.150924259525176,0.00270155024747686,0.0117432721484112,3.45209514222672e-05,0.00437547433685378,0.000493355774395087,0.262584626316771,0.0088515325602374,0.0124733764991044,0.0348773346218808
0.0274565997954344,0.00988942578390746,0.0151693987600032,0.00164669857567815,0.0147911005348322,0.0122188313427192,0.0587687434703828,0.0096710394908681,0.0282363010988371,0.0208306782399552
0.0177037297618054,0.0650590675559997,0.0232091199086568,0.00681776970207834,0.00105074664395931,0.00212470951110645,0.0227504307908615,0.0285594174095934,0.0567248879627145,1.1531424889901e-15
0.0704389131159418,0.0292756504677003,0.0104388834957167,0.000301499479229924,0.0129614903694997,0.00943688991602452,0.157722688239558,0.00547071398135006,0.0182845426305544,0.0411869063226848
0.00108573710924729,0.000591896109922203,0.00264488301110229,0.0104722264905606,0.027673122047706,0.00583806416178543,0.00089749484868237,0.0222381434051055,0.00203733995779995,0.0318210119829224
0.000866308045980205,0.000261285043461074,0.00151590174321213,0.00194116154460557,0.00565358907877247,0.00725711076944874,0.00127252696662769,0.00750747516906566,0.00230773270606672,0.0204805484755834
0.00108150954389583,7.63023893584178e-05,0.00175102042797944,0.00546783965648534,0.00489718525165941,0.0129433061094912,0.000934539274553727,0.0126122766552075,0.00369247694306936,0.00409163351681203
0.00420808951645869,0.00595880479810203,0.0201037429464476,0.0282229589155845,0.0492955970192976,3.50052500385807e-06,6.22462808613763e-13,0.0591181158615156,0.00193626899357066,0.0140675535252435
0.000592904189962581,0.000107735888044359,0.000951382238072367,0.00439099228761019,0.00314734905096435,0.0113380532560223,0.000980808937945709,0.00791981678889512,0.00129663523466782,0.0039509349798297
0.00139125887824784,0.000269491146861882,0.00406958155738586,0.00363244243552702,0.00491406325037166,0.014268423140067,0.00369769532021236,0.00220915455872438,8.92267221588724e-16,0.00380050470660063
4.07676638022933e-19,0.000135341365688907,0.00106078832400617,0.00663036055340392,0.00235171722934248,0.0118119522036469,0.00250134067562133,0.0126140637827985,0.00387222891257914,0.00295658003152755
0.000848016313601016,0.000778615236480035,6.53697195161321e-06,0.00408765644862079,0.000110205736430182,0.0189973117090135,0.00234648155241385,0.0115358235932694,0.0027587975999185,0.00452709425739308
0.000559239069426629,8.62189079943883e-05,0.000564820574193712,0.00695477885417656,0.00621363026338405,0.00608384943579549,0.000605349475120208,0.00955309245881167,3.43287162902811e-13,0.0038774049009606
0.000659638133607763,0.000181051801228858,0.00149844963807001,0.00219191068051302,0.00259545482341684,0.00624743677630625,0.00168551718312462,0.00250554553603294,0.000736258496923769,0.00819507553478019
