"Biliary_A (RefSig 17+5)","Biliary_B (RefSig 1)","Biliary_C (RefSig 2+13)","Biliary_D (RefSig 5+24)","Biliary_E (RefSig MMR1)","Biliary_F (RefSig 18)","Biliary_G (RefSig 8+3)","Biliary_H (RefSig 30)","Biliary_I (RefSig 5)"
0.0100331296581334,0.0153253839192898,0.00487138470553092,0.0139608778682167,0.00812108173144524,0.00990880293554959,0.0071814433993568,0.0266245998900559,0.0151255021250438
0.00777688945704899,0.104306466915692,0.0218861829924002,0.00789546335097007,0.00398281589426983,0.022266988885181,0.00248479483843988,0.0178314975257769,0.00518079115786943
0.0114923825673147,0.0148010211980177,0.00763299596747691,0.0117725438946013,0.00323365663723448,0.0210450120759677,0.0152060045275434,0.0485549133736608,0.0312439703641132
0.000827789607670619,0.0283813162507174,0.0031566464687454,0.00728861389175618,0.0335722941025926,0.00589017661595865,0.00463262090965175,0.0433414453901905,0.0109973003759653
0.00139636187707958,0.040589243262673,9.29640912727138e-07,0.0175649020772035,0.0485270615025873,6.99406751499771e-22,1.19919006646974e-15,0.0479925398194746,1.16036355906176e-20
0.00949686971183346,0.155831939887966,0.0156343067517025,0.00883784061657372,0.0198310590345601,0.0177033526003876,6.5777984533055e-08,0.016315146156293,4.16609899033402e-22
0.00535034245655204,0.0278214492464409,0.00288066964963179,0.0163947109083353,0.0276312239014226,0.00464486776368981,0.00451255525628878,0.0262174669615476,0.013655944746697
0.0120721739446423,0.00554650144734918,0.187676007224245,0.0151158970544503,0.010336414372427,0.0457307789772736,0.00526048296270185,0.0317485314232061,0.012120831530898
0.0162115772005262,0.0124190944987476,0.0527908889959992,0.0149432244597097,0.00987628618035002,0.0331590885513748,0.0137130376372656,0.0243882859440753,0.0119091249350161
5.55247483127101e-22,0.0669786647770463,0.0321656810832935,0.00312627962638709,0.00295039155177268,0.0220617516763904,0.000999160814295135,0.0131248529913127,0.00330822799959972
0.0204518031125134,0.00513209348821336,0.11454708519346,0.0134717744764264,0.0149438529775519,0.0507729293347083,0.0156115817465494,0.0192645400516903,0.017728915100678
0.00467597685608239,0.00413145098861068,0.00480100938401947,0.0069041195819536,0.0170156142559872,0.0147830525767777,0.0209318629564903,0.00717352920300445,0.0128497618661952
0.00641539011209681,0.0048561598620594,0.00287474165680345,0.0017231945714064,0.0166478304891297,0.00706534630611132,0.0140615259480392,0.00689307947114483,0.0022942679086931
0.00212553822465617,0.00154926781343659,0.00373237094601827,0.00745075443618021,0.00124569192218126,0.00672827711451336,0.0253799026136228,0.00851248212337097,0.0204784956138057
0.0076322097081569,0.022313375650489,0.00473588755756686,0.0101371829035892,0.0121912004504949,0.0287767606577638,0.0281322537453007,0.0105203783980706,0.00461645007919831
0.0063289062534942,0.000214099579759167,0.00211523551353759,0.0106534060576685,0.00182121947460178,0.00342436934844538,0.0225694483557953,0.00445750543740085,0.00766783003425199
0.0167436232212983,0.00251376465271293,0.00420433934172735,0.00182088560960199,0.00221699231885315,0.00198125237537484,0.0128581442012028,0.00647151963524573,0.0107980399293415
0.0117607838733243,0.00164743503351704,0.00199194491985486,0.0182561512212814,1.93593406811904e-07,4.65536723943854e-08,0.0375556529761541,0.00326015493356889,0.00722108308873487
0.00990921814468352,0.0028761259958641,0.00662986091488445,0.00539123075023624,0.000859426848210466,0.00490687771185303,0.0374857759647341,0.00423005685307908,0.00839891995059728
0.00458591316400515,0.00199687191153234,0.00148263677834374,0.00515329717491989,0.0028979024862989,0.00170321626999554,0.0130630580145665,0.00220506581466097,0.0047255236609533
0.00601176751232266,0.00379252997880167,0.00150161292843139,0.00186831208224661,0.00518845007437287,0.000949031082873634,0.00450486993550242,0.00474218181588913,0.00397626557408175
0.00244260157650694,0.00202595676909146,0.000691191089183595,0.00341854777595076,0.00213465287612033,0.00267986825459668,0.0133640703798621,0.00643744742631885,0.00734838868889363
0.00343178281183496,0.00398785515617298,0.00360655661858395,0.00214360052922193,0.0027225131579651,0.00412199637687942,0.0152629117158826,0.00390728340285206,0.00250279527511773
