"Head_neck_A (RefSig 1)","Head_neck_B (RefSig 1+17+2)","Head_neck_C (RefSig N1)","Head_neck_D (RefSig 4)","Head_neck_E (RefSig PLAT)","Head_neck_F (RefSig 13)","Head_neck_G (RefSig 18+16)","Head_neck_H (RefSig 18)","Head_neck_I (RefSig 2)","Head_neck_J (RefSig 33)","Head_neck_K (RefSig 3)"
0.0019706941696125,0.0012750679075575,0.001591776494616,0.0108550278777659,0.00154409900966644,2.70713328616251e-22,0.00262907058574247,0.00596373389770149,0.00106318775674852,0.00015650154230739,4.72943145837816e-22
0.00908360935158822,0.0144743325200414,0.00615080400643542,0.0133118576823954,0.00209663566207197,0.00149453148630252,0.0168137048101236,0.0369053802564712,0.00176067692773989,0.00758971436575429,0.00944443857585781
0.0112676483759368,0.00816734630146276,0.00133671543205585,0.0333755001801216,0.0333010786556033,0.0286270599047107,0.0295834965999848,0.0526899246899768,0.0111340234316302,0.0210641857697772,0.00868637736412959
0.0115949063596608,0.000110858817969078,0.00542182261383296,0.0365592236990092,0.0233861546741287,0.0127882544554273,0.0179960259975949,0.0242182466660594,0.00607649757458222,0.0144374848753177,0.0113346914821594
0.000745485178849643,5.34975572325103e-16,1.59867818832297e-10,0.00575866921302203,0.00363814184037172,0.00274794936395123,0.00258702885077547,0.00668134422147441,0.00148476195406908,0.00397994671275454,0.00413484922742142
0.0252885354347486,0.0338635382546155,0.0089775415083627,0.0292966839959136,0.0203944244727667,0.0170269830319388,0.038674666066477,0.0816175048412044,0.0102458771599434,0.024897516427424,0.00905624721037538
7.34904585132726e-07,0.00311464633124473,0.00325587001263171,0.0156395292511049,0.00348142241387486,0.00374281984868098,0.0123467540835736,0.0119979604490464,0.0027624642929495,0.00471391727340157,0.0182556527101496
0.00370204568663143,0.00319128330303185,0.00235556047920013,0.00544788890084206,0.00582223260714001,0.00118931984915518,0.00661536647297144,0.00485935669732078,3.23217843521081e-16,0.00230697180964726,0.00926229911608999
0.00076342124598897,1.94330723262227e-17,8.27957998234141e-06,0.00339761878822191,0.00213879900374527,0.000539357721787154,0.0012061289720379,4.84859392110091e-21,0.000610262249608701,7.82159793289121e-05,0.00597207462301607
0.0016087756712381,0.00310484622101549,0.00275185864555309,0.00827678137480085,0.00942494861305484,0.00338754737041121,0.0270645134725891,0.00770337978035987,0.00279290786992873,0.00380605235029387,0.0179352667791047
0.000982255096086828,0.000277898371201636,0.0043813369480852,0.0129871550367802,0.00346870761607268,0.00446894538179331,0.004948230387103,0.00397148749228624,4.34500406458846e-08,0.00378610895502127,0.0161648782652974
0.00186057631262416,0.00296431699071167,8.59452002285284e-11,0.010690309735972,0.00483064776854937,0.00123580489784698,0.00407635613449551,0.00172831368284627,0.000724894730882036,0.000385214933872395,0.0102246965873697
0.00213161195484469,6.78994854273499e-22,4.98350395222104e-22,0.00484468914852981,0.00312737342217691,0.000409586973555979,0.00198308338322679,2.58780771299869e-15,4.7591717804671e-05,0.000973963474160246,0.00498333189227488
0.0020039705870811,0.00019644348112533,0.00701111547571693,0.00941770114552935,0.0146778976454449,0.00479081636647581,0.0177547215706756,0.00370725246700095,0.00154110940003772,0.00192860358785764,0.015838201307604
0.00137207951223354,3.68878831940363e-18,0.00137588749511085,0.00877404233131186,0.000965121826312968,0.00170871846613657,0.00330974233268404,0.00293328105842933,0.000102951655198837,0.00103064172309406,0.00842807127274674
0.00136527764904455,0.00186971535980572,0.00245406598569599,0.00743093052061593,0.00767934251456457,0.00109964039312567,0.00549761130919247,1.34841165272451e-05,7.41370919137701e-16,0.00171278182089432,0.0047401421199193
5.68879458157286e-21,6.78994854273499e-22,0.000887505031849236,0.00448789452920828,1.18851207940951e-17,0.000246079938677599,4.14184204245395e-22,0.00130437297544053,1.8734255280226e-08,1.00181081185418e-17,0.00267227641659408
2.23342897679339e-11,0.000486561003270852,0.000898942567748859,0.00353650307394302,0.00826382187169833,0.00269418046515674,0.0113256891900908,0.00481997844172123,3.88820919027954e-22,0.000994258229093903,0.0068991193870392
0.00110392376942854,0.0327048784412572,0.00593960722968869,0.0100416784079762,0.000862745848539563,0.208901474470635,0.00754034023907032,0.00469153153258447,0.0569505147096302,0.00875943510785763,0.000406802791562519
0.00163105136278205,0.00443101176242438,0.00768381955682748,0.0108172566314313,1.22608413365002e-07,0.0427784004227483,0.00350206139522514,0.00221487564070203,0.00833181637027604,0.00221861225281647,0.0144409580875316
3.23183606581262e-05,7.40202691779826e-14,5.20992989415741e-17,0.00212672030856049,0.000387010301854295,0.0111038285823567,0.00208592208977812,3.90982807424145e-22,0.00190643942714664,7.91182789020421e-22,0.00570905020666637
4.32110069293339e-06,3.85175434110469e-09,0.00817594061075631,0.00969139922049684,0.0364440802484509,0.217259646423208,0.0511194995183161,0.0256323456790043,0.0571375769729145,0.0266684253889815,0.0188169312662062
0.0235540608317101,0.0131658217193005,0.0170803997836675,0.0175394448841705,0.0176749351172669,0.00200629426398705,0.00947577684238733,0.025146659451635,0.0150542707053377,0.00779684687507965,0.0279695283747724
0.0128526931680528,0.0091074388680011,0.00860628620655194,0.00519265495491174,0.016104246604331,0.000535429053321964,0.0144630342675469,0.0182010599360409,0.00481833349433483,0.00436084727126234,0.00802044451693122
0.136776594561124,0.0670247423294755,0.00705882355799858,0.00158202619439506,1.18469219444403e-07,8.57766437692771e-05,0.00482080948311456,0.000266636942402497,0.014432572738835,0.0603761743090858,0.00601278581180101
