"Lung_A (RefSig 13)","Lung_B (RefSig 17)","Lung_C (RefSig 1)","Lung_D (RefSig 4+22)","Lung_E (RefSig 5)","Lung_F (RefSig 18)","Lung_G (RefSig 3)","Lung_H (RefSig 33)","Lung_I (RefSig 4)","Lung_J (RefSig 2)"
0.00110731958262018,0.000865786605627606,0.00120390861594532,0.0130640625055984,0.00751078585977617,0.00173963968928148,0.00169439970177605,0.00388781399333829,0.0107309217213671,0.00282580571146939
0.0017631929594475,0.00297261123474329,0.00584395205827306,0.0198153283708164,0.00737377202249309,0.0326590042555738,0.00577431715018762,0.00741283032124164,0.031652212272253,0.00648508483781216
0.0374505597739094,0.00524884348984494,0.00560235088981352,0.0374638068020596,0.0274526879266479,0.05055350283579,0.000533611054122603,0.0165328121667789,0.0465634103700767,0.0111474363392332
0.0208768819452176,0.00296315382998113,0.0109952179500307,0.045829215894037,0.0211805079460699,0.0258328480565598,0.0176124103439185,0.0233796306694904,0.0549588383002664,0.007317455290111
0.0028633374913248,0.000991210900887076,0.00187832413131528,0.00847788137088596,0.00462380788480237,0.00543403621661693,0.000209513989506013,0.00401982761443698,0.00702218497465475,0.0013872866913758
0.0227135406881289,0.00720848970127855,0.0171008299411606,0.043508076724315,0.0219170635032883,0.0739500107821714,0.00346355035172709,0.0186514029593245,0.0528115774166268,0.00873739175085706
0.00485416753956055,0.0024377970015054,0.0042529620755011,0.00354692926359266,0.00857528106920021,0.0108921136151507,0.0251280089314778,0.0142644827313842,0.0152949985638833,0.00203168570198113
0.00167237484342792,0.00171130576749292,0.00336340839200894,0.00166282265248794,0.00436330968687295,0.00744762048817215,0.0104194115693659,0.00580891259102369,0.00523738376826313,0.00242186845130726
2.39546963671813e-11,0.000523603494671933,0.000153780849934938,0.000883449467806681,0.000732688201422729,0.00452425313772593,0.00807345750746308,0.00255246959311102,0.00210209170210608,1.8738939888405e-07
0.00488679238362849,0.00170756542493171,0.00675028986281789,0.00164670519605575,0.00873757531166499,0.0108535405771498,0.0146017803030872,0.00838883186456698,0.00996762704657041,0.00482591903776785
0.00562347959705642,0.00103345652208417,0.00100688672509801,0.00679395400962629,0.00762663830826212,0.00534180010369322,0.0201704712177859,0.0101001080040588,0.00955656880823938,0.00347746573688409
0.000921129170837571,0.000497327237279755,0.00171545522288945,0.00831307870764985,0.00336316921951395,0.00713683133187388,0.01742602403089,0.00848961739319812,0.00588323135916698,0.00248747209849358
0.000445565074527184,0.000570687859763807,0.000318269101383331,0.00315223651142723,0.00233276638099879,0.00376328108627754,0.0074679332056686,0.00281407094022997,0.00272834730774416,4.33948795344964e-09
0.00463374579835728,0.00130697974465697,0.00513299777835402,0.00634091254713439,0.00655323041796041,0.0114428121168614,0.0210889595599324,0.00848200344172313,0.00872470502526072,0.00323462608139692
0.00163259414198753,0.000509337183652565,0.000860501803310248,0.00425107471883585,0.00629411616299643,0.00505397833874512,0.0136661685313669,0.0067550954119259,0.00840483747397816,0.00199291655840316
0.00138019528470678,0.000662915796163616,0.00135563090376742,0.00444940077496338,0.00427895630061267,0.00230056652688135,0.00981989584733736,0.00581184943785411,0.00666021403345618,0.00516441246717681
0.000463930942815569,0.000226195539754036,0.000141344637400592,0.00276613580847965,0.00145257162846227,9.12603293185859e-11,0.00409448008626646,0.00303081469336013,0.00279325100565364,0.000269200725387717
0.00256493575581478,0.000424673219326189,0.00405354169546138,0.00276671562578936,0.00127358204568397,0.00644838835946757,0.0135192052619833,0.00414232518867916,0.00630635199858552,0.00277519587172916
0.186171851832045,0.00383222787611297,3.9144502094259e-09,0.00237769365696581,0.0115291537693294,0.0181275276538147,0.0180824486027919,0.0169610275759865,0.000950047023595604,0.0326635108474424
0.0371123318288539,3.65945130897046e-06,0.00494482495228462,0.00491685508587891,0.00775536634111551,0.0136519891289887,0.0211408740637583,0.0112738748200304,0.00573769394716849,0.00957075097382337
0.00725493533553095,0.000125477409859979,0.000295000863659285,0.00163420839602745,0.00175378436458548,0.00196780165661415,0.00423395740553072,0.0022288782900884,0.000738604685620142,0.00130514617804484
0.207867618881524,0.0046644957148117,0.0146376848524342,0.00289900150619539,0.0195311853345995,0.0293086577518716,0.0231287521279117,0.0138589788564725,0.00216449174468828,0.030513186240857
0.00536672776396287,0.00913161394170287,0.0214454979804194,0.00672036440217673,0.0217858541909826,0.0225148292948082,0.0182740738637214,0.0132703933303617,0.0147846637481224,0.0144664410940144
0.00237059720165186,0.00403182473411786,0.0148979979006268,0.00585539794511737,0.00903079223143033,0.0108547430198801,0.00862143622225531,0.00455449687863294,0.00514361754308169,0.00591447865540414
0.00484604259966894,0.0068023951353819,0.0899783333724415,0.0015575258459818,5.64532717350161e-07,0.00935352990238368,0.000135442824707103,0.00574067322651209,0.00360667760781155,0.00604282775750063
0.00330855115205173,0.00384152056634018,0.0151533515374442,0.00266487518956063,0.0103325122351001,0.0189649258249761,0.0173395637320744,0.00791362282066673,0.00792914341131478,0.00833665538216629
