"Lymphoid_A (RefSig 17)","Lymphoid_B (RefSig N3)","Lymphoid_C (RefSig 18)","Lymphoid_D (RefSig MMR2)","Lymphoid_E (RefSig 13+3)","Lymphoid_F (RefSig 17)","Lymphoid_G (RefSig 9)","Lymphoid_H (RefSig 30)","Lymphoid_I (RefSig 5)","Lymphoid_J (RefSig 2)","Lymphoid_K (RefSig N1)","Lymphoid_L (RefSig 36)","Lymphoid_M (RefSig 1)"
0.000277058970179857,0.000303563333251119,0.00426345813492252,0.000799135264660711,4.28376940391005e-22,0.000260434048530102,1.97944473992694e-05,3.89502213665873e-22,0.00235472482710477,0.000231338226434575,7.47805808066403e-05,0.00166576907758208,0.00242150804378136
0.00183555282772126,0.00787124128972117,0.0480355970978795,0.00221238450808817,0.00779040483935765,0.00156887716852981,0.00207445851573679,0.00966382504198829,0.005118825496244,0.000195953070638057,0.00415712710670941,0.0207537583656461,0.00936578079232608
0.000167049771250396,0.0159597316327877,0.0234324453887998,1.44269914138475e-10,0.00344420788860948,0.00885764784445754,0.0391672365092312,0.00699950321380514,0.00322952256891171,0.00623867967716898,0.00333901949940047,0.104078368123249,0.000276481111804025
0.00186274565934125,7.23113286084623e-14,0.027173523184535,0.00179538842517589,0.0099968916796406,0.00524916506053895,0.00587082172164255,0.0030761038987975,0.00797638587303305,0.00562352244799181,0.00559118605875926,0.0139005197538171,0.00946267175442711
1.96913978622154e-20,0.00115228012772638,0.00573081392067378,0.000392152890806799,4.28376940391005e-22,0.000338845238264702,0.00102908765678731,0.00100626833779693,0.00116426594252381,6.503439613533e-19,0.000451700854321018,0.00378283556781223,0.00288644134144549
0.00243741444224435,0.026231958078151,0.0395608433181903,0.00850852227112539,0.0339622007782408,0.00661726781293205,0.0250111944592928,0.0249170877730988,0.000177161273338689,0.000119825183720933,0.000277292104323745,0.176627846787947,9.16539022490343e-08
3.27231032070424e-22,0.00064470312713612,0.00950816243781065,1.56253813208491e-05,0.0314143159716023,0.0114540322302695,0.00510316696616617,0.0100000198567266,0.00677479181254611,0.00478001218303756,0.00988653126541241,0.00205835838589574,0.00658243006326725
1.39068669786948e-13,0.0014339339332303,0.00464636338976711,0.00405441069331763,0.0173140308828862,0.00516056600879144,0.00103534484926873,0.00970280587263603,0.00570695723968925,0.0020841256708758,0.00474688460795025,1.05943645353238e-08,2.78190556408812e-05
3.02390648731217e-06,0.00135281116533722,0.00160479664262369,0.000811812529488072,0.00190635323400394,0.00132769448479881,0.000213093507025145,0.00148040247445913,0.00152275268061779,0.0011945192902452,0.00050488776654611,0.000335936978135066,1.88138464817752e-05
5.94672605870038e-05,0.000445516815725505,0.00910197687620393,0.00658619453412666,0.0387970455884612,0.0102809916506777,0.00252345032130769,0.0160460258821927,0.00154440682318979,0.00609829884147072,0.0143782011959823,4.23571206533546e-08,5.60688547024185e-11
