"Kidney_A (RefSig 13+3+16)","Kidney_B (RefSig 5+30)","Kidney_C (RefSig 1)","Kidney_D (RefSig MMR1)","Kidney_E (RefSig 22)","Kidney_F (RefSig N12)","Kidney_G (RefSig 4)","Kidney_H (RefSig 18+2)","Kidney_I (RefSig 17)"
0.00716901796930535,0.00486091998523526,0.00539327559436359,0.00187043587847882,0.0253675564479457,0.00533944705942549,0.00415515749931983,0.00139835498402866,0.00154099443405207
0.00553233078238645,0.00670344062915175,0.00247136113034628,0.00374772258364148,0.0085451549477793,0.00511810304943998,0.00443114678527785,0.00242481060645254,0.00557548869772771
0.000904171631053145,2.81999867378206e-06,0.0032293689537908,0.0108409713028704,0.092189214600355,0.0161162297312575,0.00516232751156207,0.0171502379176874,0.00629289559624529
0.00329710911339922,0.00559738619879605,0.00187483708298385,0.00530468549941302,0.0200050845896078,0.023310835624924,0.00748984711488756,0.00584369998340622,0.00393411000643154
0.000166606341495947,0.0069618444306025,0.00233281755130359,0.0021085229670057,0.0613531944180649,0.0100619981695488,0.00677336027594394,2.60634803213842e-05,0.00159814611127079
0.00169752688249389,0.0134271363838124,0.00392592285592627,0.00928707542013284,0.0345530632968465,0.0480986475469068,0.0119599555526847,0.00806689135711293,0.0134014792977501
0.036904060635855,0.0360051525801365,0.0109645779766034,0.0369928911404713,0.0270321055859916,0.0233201035991221,0.00312912490979322,0.00564109841731327,0.0117476353847817
0.00706520685185877,0.0161483726324734,0.000871873423341347,0.00966784328306793,0.00125750328731596,0.00546764972280403,1.19548019474562e-08,0.00483772310319765,0.00527404259906513
0.0238203729112037,0.0344384810922191,0.000112673609917489,0.0223890251317514,0.00564241412339421,0.0159632546575248,0.000963313193271475,0.00447660059232488,0.00590869532683422
0.0281643127876233,0.0303745705179051,0.0123402165696521,0.017198371068224,0.00174086954756191,0.0246552015364727,0.00662007272410551,0.0133678722768911,0.0119427562491776
0.00785547136905885,0.0192796008630924,9.90840885150045e-06,0.0256478279468558,0.00586502741335203,0.017274864457851,0.0034588440255875,0.00474334952470775,0.00853885413335208
0.011587173966005,0.0201248538302093,0.00181459778831802,0.0111062873582133,0.00131620736649229,0.00437542134995968,0.001080893683867,0.00370973051281202,0.0300162673884348
0.0053058838955023,0.0234999534370694,1.13718030305817e-21,0.021670731458271,0.00173528654302877,0.00857115102443664,0.00309753595631564,0.0062237178528737,0.0184916328491837
0.00452390418210209,0.0189232555184681,0.000892786210844015,0.0172808499846453,0.00131846137377132,0.00376933560486216,0.00341824562157903,0.00283879077713706,0.0737357481216875
