"Pancreas_A (RefSig N1)","Pancreas_B (RefSig 18)","Pancreas_C (RefSig 2)","Pancreas_D (RefSig 17)","Pancreas_E (RefSig 3)","Pancreas_F (RefSig 1)","Pancreas_G (RefSig MMR1)","Pancreas_H (RefSig MMR2)","Pancreas_I (RefSig 36)","Pancreas_J (RefSig 13)","Pancreas_K (RefSig 8)","Pancreas_L (RefSig 51)","Pancreas_M (RefSig 5)","Pancreas_N (RefSig 30)","Pancreas_O (RefSig 17)"
0.0382936956409973,0.0762930412060486,0.00120097907549769,0.0177806001897394,0.00104288793713505,0.0120519380965943,0.0153828197882715,0.0158259247634819,0.250117927047141,0.0178662118407441,0.0101403461967829,3.95974407303175e-07,0.000237626153042974,0.00136661109255117,0.00270096136626487
0.00610930048918611,0.00587647961019852,6.80022914232101e-16,0.00158368456415839,0.0306971367572,0.000291249618455096,0.00136704474605071,0.00331398043235501,0.000560516138596794,0.00504120151224528,0.0143665345014988,0.0162411037086411,0.00747353281934224,0.0042128829009271,0.000769874793687589
0.00309028822510192,0.00288782546663729,2.18781091020462e-19,1.2225718277048e-21,0.0176290169611493,0.000430806088969956,0.00194867367438112,0.00189571645534009,0.00134140281790164,0.00235093137835144,0.00347516099700685,0.00475731617099995,0.00706779643153304,0.00556791288307941,0.000912751317559146
1.40095265394985e-21,0.00178092894549925,0.00059900971014274,1.94742779035218e-16,0.0107220806044636,3.38588663294918e-15,9.56509925023782e-22,1.42377528082725e-05,1.06312614003454e-21,3.057130852497e-05,0.00107939340676319,1.48554174303059e-12,2.92820117298006e-16,0.000184315459240867,0.000164707965700006
0.016024221705095,0.00439856663339855,4.24349658310639e-06,9.54716958046767e-14,0.0286144958102708,0.000121641032078458,0.0016060796022718,0.00298778415054145,0.00122801085516016,0.00791622453316932,0.00734796244631625,0.00543841194076473,0.00739799698461365,0.0088743168322317,0.00329576435152148
0.00130495506613766,0.00281772587464126,0.000649535488783811,0.00129281908925681,0.0259214982796206,1.28686086558918e-06,9.56509925023782e-22,0.0018811974135517,0.000687814479320079,0.00410080953926557,0.00869918714129745,0.00430800882914556,0.00389998248581312,0.00390796223752819,0.000809007333381441
0.00206727801469091,0.000121539887361688,0.000427793751360815,0.000918825290584042,0.0225679790552359,4.12979126890826e-07,0.00127672669106635,0.00198923857093231,0.000654072111103636,0.00288462633611198,0.00529965917207887,0.00754655681393739,0.00256549595675005,0.00457500861065663,0.00110559210547852
2.77650585106455e-14,0.00267215236804904,1.15450268728179e-10,3.22825020825192e-16,0.00960163886566532,0.000689051715364506,5.17878370737265e-05,0.000596165951495699,7.65369583220655e-05,0.000479487848566543,0.000749785639833107,9.74859486291819e-08,2.91055439322837e-15,8.39363660350865e-22,0.000338336746255932
0.00340624260536993,3.82319423161232e-07,1.91528115457343e-08,0.00130562684907979,0.0363073480204268,0.000199095251832444,0.00151296264923846,0.00201960604734304,0.000977887879668594,0.0121602083381676,0.0108798223939438,0.00310941035363414,0.00899101947407628,0.00641169914329327,0.00252731114476861
0.00216210464564345,0.00142835435629525,6.5617299135198e-20,0.000805834440849316,0.014986046429956,0.000297716718281861,0.000196221369028712,0.000944897713714701,0.000289758708724534,0.00298374706961643,0.00488637195803956,0.000903411744534164,0.00341380661746791,0.0015643977408235,0.000545884095335879
0.00272734540257994,0.00154443641149255,9.10719361483917e-22,0.000330685209494552,0.0191722946775593,0.000896813002951955,0.000877270807833329,0.00271624797897619,0.000434612760404538,0.00268753917640916,0.00243237096471763,0.000992452379468418,0.00886992255459396,0.00499813033998423,0.00152725094390798
