"Colorectal_A (RefSig 1)","Colorectal_B (RefSig 1)","Colorectal_C (RefSig 18)","Colorectal_D (RefSig 4)","Colorectal_E (RefSig MMR1)","Colorectal_F (RefSig MMR1)","Colorectal_G (RefSig 17)","Colorectal_H (RefSig N2)","Colorectal_I (RefSig 10)"
0.0180002833485455,0.0131485100366911,0.0105584585543285,0.0214205760601722,0.0032785885603376,0.0228595639374427,0.0064721498934933,0.0131814305186156,0.0135358275648201
0.0421211220531928,0.056663806566096,0.0330256383944896,0.00882737663667399,0.0118356723205442,0.00611238964026929,0.0125026694394363,0.00566630972570561,0.0561993345383237
0.026525055063689,0.00998556561020961,0.015026063213354,0.0168593277786146,0.00340884350983354,0.0212190667548248,0.0108599118392175,0.0173069798511038,0.033703449471034
0.0116922325537534,0.000554063700139461,0.0033143288475894,0.0111205730086504,0.000771878315149701,0.00809037113910947,0.00532792819168377,0.0120727756824755,0.00107967608212761
0.00827814666154851,0.00293829099091772,0.000868453507478107,0.00647522056549915,0.00178131962563853,0.00868102925057694,0.00370690184128517,0.00664447338780359,0.0005146330593556
0.00872611914410978,0.000996545861300393,0.00200510501050191,0.00289725314275751,0.000527916220602749,0.00319157907120594,0.00358818257794854,0.00865652291943199,0.000193112795177296
0.015856861649521,0.0277441270438304,0.00897951956544009,0.015700237054359,0.0131302182490493,0.0206761041233682,0.007620868271178,0.0115891278778132,0.00560039645806054
0.00202155998600312,0.000510430730548914,3.96764145972788e-19,0.011772956283581,0.000507711770612479,0.00177712365253828,0.00285043820569793,0.0168405590745214,0.000335314035262396
0.00442662364162559,0.0023497552391969,0.000837515804223877,0.0103253148488341,0.00463811735929396,0.00284619674873041,0.00855481071245685,0.00841113609490509,0.000625610217623072
0.00802957749027225,0.000805454912082121,0.00153021725858174,0.00814293454574109,0.00091532709413026,0.00272058984052522,0.00511804638069061,0.00709892646923304,0.0004536896707477
0.00726224912839879,0.00160319861603068,0.00316958609297243,0.0126558884758527,0.00301075243500944,0.000873092640290764,0.025900329766966,0.0245862652239256,0.00152546568398169
0.00336011238151843,0.00039495884481992,0.000533400779365055,0.00497266755745736,1.36209536951578e-21,0.00429553032453653,0.00207060101630506,0.00646020811632132,0.000171168159361694
0.00413439522942433,0.00100836737959731,0.000557374995854037,0.000772232843729377,0.00140692307399704,0.0076479917891244,0.00253373955754404,0.00459197922112472,0.00031587735782572
0.00334246596710288,0.00112866443461833,0.00107471682255897,0.00139916440869533,0.0014057510013004,0.00460475356533407,0.00343987277305109,0.00592489586561799,8.80293391003e-05
0.00515001291691269,0.00119627813584556,0.000959622713674919,0.00744425596470913,0.00210255797557045,0.00435686259018294,0.00896376086239636,0.00765947119470616,0.000719658656832795
0.0103770982990166,0.01100024120593,0.0170824146428055,0.00926759700443283,0.00547426450067863,0.00580833447705948,0.00735138917259701,0.0290700982870042,0.00169500367039709
0.0053329561293612,0.000395855916376139,0.000801388068347578,0.00377661770318404,0.000573181257159109,0.00239300312499078,0.00355975141453388,0.0109259932212677,0.000916784185416372
0.00331367301307914,1.92603210627229e-08,0.00155201888224193,0.00503875128740493,0.000661450820441417,0.00191798375386359,0.00297519517468647,0.0101501795471132,0.000784865574684869
0.0127877094472655,0.006277807624171,0.00648131812122511,0.0171321139937701,0.00370176167317359,0.00328376926378109,0.0148363911438497,0.0367368111127382,0.00594611852059548
0.0236696560516454,0.0022822445208819,0.012862702918008,0.013525877341003,0.0397854414764626,0.0400030731939607,0.00940948030887255,0.0207649813192849,0.01090222047111
0.0112686105313367,0.000634423111694863,0.00335231078886321,0.00488631251897047,0.0205315843956782,0.0112712494319295,0.00558310931980166,0.00438768232660192,0.00600229678828342
0.0112720927359735,0.00820400653468814,0.00343841004313519,0.00114312844757305,0.0584576376766386,0.0196690752267196,0.00558152040942214,0.00485708762934948,0.00531461460078193
0.0321540098597513,1.27876894462099e-16,0.00413130905997576,0.0227442958221515,0.0129498932814779,0.020108464305692,0.0128027159305373,0.0111170675299962,0.0100885133750674
2.86878134364019e-09,0.00932921589432914,0.0023835321772038,0.00377308059104751,0.0263235959363652,0.0225029383287283,0.00341425365614473,0.0270727194374762,0.00205564808528664
0.00455751047992907,0.00616861167285644,0.00119403520879653,0.0175885601222798,0.0214354501355058,0.00842989800575641,0.0203735656560705,0.00897471599632398,0.00272978729754193
0.00255247932363021,0.0109976959078296,6.97444373914754e-09,0.00478653765695006,0.0609882171523947,0.0222127532884739,0.0100894301155139,0.00144343961248835,0.00252814744387628
0.00680414569667726,0.00681985126309854,0.00637586512819828,0.0160640230309039,0.024404080218525,0.0147384407447924,0.0571985861372196,0.00494607673968905,0.00422929561230174
0.00443678913107998,0.00978656634498934,0.00317526110663696,0.00397530082637861,0.0318943252998919,0.0602884991452575,5.30427374826807e-08,0.0132192598839945,0.0136822923341493
0.00497495647814803,0.00425475312514282,0.0032350118318598,0.00217400613048364,0.0157944539230325,0.0174349927440306,0.00434980876182123,0.00261739446181041,0.0118109791897138
0.00393925144525814,0.00767882223640116,0.000534171854113136,2.39476527291274e-11,0.0374439781226079,0.0357800853748712,0.00314953501970245,0.00126750127044278,0.00623954965092981
0.01256551831074,0.00237331994147986,0.00468591646103595,0.0120124799933683,0.017955016789265,0.0385625878749331,0.0100596823557208,0.00322697056824718,0.0185504903434825
0.00350284882861515,0.00541794862389026,0.00890186415035311,0.00556223973041477,0.0144539281924375,0.0401424994740803,0.0132668506215483,0.049289954976435,0.00999383794626298
0.00764729770776262,0.00652162810660392,0.00586897813176047,0.0039346214447492,0.0184561600244588,0.0183962758631776,0.00674254654055157,0.00795948297003668,0.00910401431342006
0.00259631766224288,0.0070537765587819,0.00320357231780365,0.00177978559179933,0.0202810454598001,0.0198041340018539,0.00469025764664639,0.00889079441250013,0.00612970107393286
0.0204152552317488,0.00793539889288435,0.00514173326585865,0.0163707381611602,0.0233731468018661,0.026332355642802,0.0133892693416013,0.0127529886577368,0.0165348441943397
0.00380299683032115,1.09277532005144e-21,0.00312938059421432,0.00201194423993331,0.000388280369721008,0.000926654141008737,0.009270303847081,0.016629863806213,0.00425625616487519
0.00195340155190693,0.00041290145215306,4.08006934795762e-06,0.000541767460764415,0.00304497333889942,0.000931061210697657,0.00438213916112382,0.00233813987496413,0.00424860689181947
0.0048153555616456,0.000218681981848852,0.00145319367756918,0.00157980716109722,0.00170380877692417,0.000636207262627009,0.00313471444070413,0.0055761884893248,0.00224324337203029
