"Stomach_A (RefSig MMR1)","Stomach_B (RefSig MMR1)","Stomach_C (RefSig 1)","Stomach_D (RefSig 8+13+3)","Stomach_E (RefSig 18)","Stomach_F (RefSig 17)","Stomach_G (RefSig 2+30)","Stomach_H (RefSig MMR1)","Stomach_I (RefSig 5)","Stomach_J (RefSig 17)","Stomach_K (RefSig N2)"
0.029429486885544,0.027012880021924,0.00271352045624757,0.000685654139272411,1.08765861429474e-09,0.00718858078148901,0.000902829873395215,0.039058673881108,0.0051660231191591,0.00593458213783715,1.43838479463755e-14
0.0465440287638261,0.00254779493988695,0.00671649525995931,0.00332913834454222,0.00452452908010427,0.0216098715440067,0.00757712872838701,0.0354940519649417,0.0128434796272272,0.00682247866376148,0.00678890136040815
0.0445944655679725,3.17312503352577e-05,0.0119177530771919,0.00292575886308004,0.000586270382142982,0.00948262138343898,0.00631514928861042,0.0349178100904141,0.00111284141798714,0.00480182613187167,0.103552302093465
0.0262274456812266,0.0175458273513519,0.00362991516533784,0.00155059197287269,0.00746384005436863,0.0114908400917482,0.0104246972811287,0.0182259426750006,0.00972631478047494,0.00994671852058336,0.0133440598114498
0.0131834747942554,0.00985334779587953,0.00428279040618709,0.00114864339708404,0.0026491030445396,0.00644853822594943,0.0026460640364976,0.0207668333986655,0.00433159476391909,0.00648605044725771,0.016332884434504
0.0302158906632948,0.0215549647665217,0.00355557229486931,0.00140822367276074,0.0092250548900134,0.027641229881084,0.011493362853856,0.0305045579113894,0.0143326638345679,0.0133283058606454,0.0213438918057816
0.00153086925096079,0.000964803957600119,0.00546849812691744,0.0102585742596865,0.00120432517948861,0.00157462509960928,0.00480108941454373,0.000404073109680845,4.7143243150109e-05,0.00292492743968764,0.0291573268066385
0.00156100381603255,0.00480241420781868,0.00091665992396934,0.00214544134997072,0.000525333847105852,0.00166114506879888,0.000412177576951084,0.000597977450407465,0.00371686481452529,0.00556470051562268,0.0013884779692319
0.00082219962032842,0.00238287958317652,0.00075445747025643,0.00734857029264197,0.00154474169667224,0.00229681658950351,0.00280087770446905,0.000289172663359241,0.00752312950136601,0.00249457110485131,0.00514959088065542
0.00297772319408486,0.00884998381442904,1.6509204407193e-10,0.00291019788357877,0.00432078459849861,0.0416924722194512,0.0167444898349495,0.000261334741631221,0.00355589994090431,0.0599280847565364,0.00768762840175904
0.000277071332920916,0.00221177674840123,0.00159683598777256,0.00450106304847103,0.000595480952680104,0.000715542933558754,0.000782302747215426,0.000847861879746027,0.00391152061826505,0.00352924753477077,0.00954049867507561
3.41183224968646e-21,0.0126860915759885,0.000715117674053475,0.00326062050579212,8.31738254085749e-17,0.00378754667823778,0.00410565277531777,0.00553062549595286,0.00420342986802327,0.0220929043913617,0.00317707936927097
2.15034016375501e-22,0.0202510379853878,0.00191319868722421,0.00568225681461094,0.000956469487626963,0.00119783720547264,0.00393065829044025,0.00545628583996247,0.00932804478438764,0.0113758350884787,0.00209414480283176
