"Liver_A (RefSig 16)","Liver_B (RefSig N1)","Liver_C (RefSig 24)","Liver_D (RefSig PLAT)","Liver_E (RefSig 1+MMR1)","Liver_F (RefSig 13+3)","Liver_G (RefSig 19)","Liver_H (RefSig MMR2)","Liver_I (RefSig N8)","Liver_J (RefSig 4)","Liver_K (RefSig N11)","Liver_L (RefSig 22)","Liver_M (RefSig 1+18)","Liver_N (RefSig 17)"
0.00864192652691039,0.00693618630456336,0.0283344254332604,0.00272722004748315,0.00172567334659272,0.017341694314526,0.00711005985367882,0.00835782245670639,0.0102148609598436,0.0470232717289284,0.0207471445423685,0.00577333088909362,0.031429249865292,0.017074233467597
0.00975710443805802,0.00213337077251492,0.0511306676766829,0.0224811963067756,0.00613972972037474,0.0173988726456591,0.00552720156483378,0.00390214059224684,0.0297940635967483,0.0381142359748604,0.0243736687994359,0.00597374994987998,0.0207990943482783,0.0081308368851169
0.000180148110416947,3.56259535830862e-05,0.0142631820789255,0.000936670246213751,0.000875974499687046,0.00153334523128637,0.000915281157182362,0.000609846045074055,0.00612628284022724,0.00284277791216585,0.00307079996124214,0.000709515076127166,0.00429788042750361,0.000904492826135152
0.00622772715935034,0.0111523298855482,0.0190435949226615,0.0102967251784792,0.014547127589783,0.019175180788792,0.00808651540959436,0.00857492904454024,1.13827809390548e-07,0.05840969749108,0.0146963758117389,0.0093470503628704,0.0521445937857696,0.0196655182883266
0.00350125890279602,0.00470171147116284,0.00704282488964632,0.00206974877084141,0.00124052278446815,0.0164453405389825,0.00292521030196532,0.00363522098622443,0.0058346661883211,0.0093940370622455,0.00156962024067586,0.00194937044430503,0.00913925902892419,0.00406370842806243
0.0014372468466075,0.00422608468322087,0.006581974178147,0.00438298240944324,0.00119493549398263,0.00980695703552709,0.000669707033768722,0.00168327956972116,0.00683683558253636,0.00292951665604142,0.00194969110141289,0.0005605383023266,0.00696990821525864,0.00361498017460511
8.30013231646957e-05,3.83278402403443e-07,0.00212855672287885,3.32851780486416e-05,0.000417673939392858,0.00300172703803812,0.00026743853636389,3.31495324830021e-05,0.00223726339444507,0.00146725605523689,1.17845242854927e-21,0.000175521117264414,0.00213288962613005,0.00161001762658248
0.0105072788271014,0.00840383119537455,0.00344194800397393,0.00725423735023811,0.00117742416397125,0.0196136867404683,0.00255492671854444,0.00210126844740464,0.00728624190409402,0.00953962035093236,1.4538261187343e-06,0.00201075928164359,0.00755895513748638,0.00634159174566043
0.0048877604509076,0.00167891679625198,0.0052250273337139,0.00290888403200004,4.92630226283797e-05,0.0127771535790843,0.00152489298766268,0.000813919047693665,0.0132491378413688,0.00599622535838494,0.00307535854071107,0.000892602856878639,0.00404950305949127,0.00415258668116123
0.00335192359110923,0.00198214141570944,0.00659163499473446,0.00614514466852644,0.00059681876794582,0.0115053238113809,0.000867048163963778,0.000420978254329046,0.0107042442449864,0.00376837637559241,0.00442794526560886,0.00102016886366252,0.0044120196899826,0.00721625990572018
