"Prostate_A (RefSig 33)","Prostate_B (RefSig 52)","Prostate_C (RefSig 8+3)","Prostate_D (RefSig N9)","Prostate_E (RefSig 5)","Prostate_F (RefSig 1)","Prostate_G (RefSig N10)","Prostate_H (RefSig 1)","Prostate_I (RefSig 18)"
0.00299913163867284,0.00216085940939918,0.000267824871194699,0.00612237192786966,0.00628935361627392,0.00312772413957044,0.00574236878169008,0.00103402898962938,0.00106746196693246
0.0058922424342558,0.00312753144611342,0.00543128026581583,0.00578219680336076,0.00337605411903181,0.00432559060080591,0.00945635672984819,0.000842688728559062,0.000851550553868225
0.00527841078461833,0.00829118421380151,0.00220033136491294,0.0182863490850789,0.0108807491180057,0.00278164222138192,0.010765593868808,0.00217148901632112,0.00385002399451379
0.00984846911593304,0.004311956422766,0.0029094456399569,0.000621804019076921,0.00753774950729402,0.000830816027747338,0.000567121519436831,0.000781525875410446,0.00134124855124942
0.00257109749519983,0.00157943913932713,0.00539922414973086,0.00339661360613044,0.0090024493730397,0.00239741390395096,0.00102662770256311,0.00181492395575682,0.00155444872369699
1.97796733064862e-10,0.00185398611098215,0.00939892604557046,0.0014853675298563,0.00942318137904782,0.0019457792660626,0.00116176890314473,0.00234898403921306,0.00199703941039906
0.00760827300326307,0.000286475988150485,0.00718613204299576,0.0021244429753898,0.015209362803613,0.00381490068111214,2.03029451752842e-08,0.00445355898591689,0.00889753371897493
0.00281434348728934,0.00335174166140745,0.00204989942885172,0.00193114122690169,0.00171488500092363,0.00170928838272428,0.0103987946539779,0.00102117636360077,9.92945615149459e-06
0.00196242668203491,0.00270394517614649,0.00121146263144241,0.00141474198714086,0.00343129981006969,0.00169651286723087,0.00622545623444709,0.0010979368780847,0.00127437525509044
0.0120523981304506,0.00450017728927057,0.00665122935217992,0.00934303040255932,0.00224884415576459,0.00292666104407981,0.00471319065023698,0.000616350923939307,0.00281072088866994
0.00355852247101878,0.00322471126210781,0.00411166064447389,0.00432045165004919,0.00777910645475124,0.00153997912941456,0.00918422163155887,0.00319948370015539,0.00252854987926447
0.0037132763363211,0.00263415106376324,0.00272512855268414,0.00528860714487937,0.0126837742982516,0.00512913861222352,0.0138245093607147,0.00168522266629128,0.00533069954881584
0.00541629930438805,0.0042594194370956,0.00254751773158956,0.00609998019477406,0.0112697594753958,0.00143728929348648,0.0154252991646094,0.00207535530199712,1.47280642237146e-09
0.00254285537338341,0.00681308293507193,0.0052696870104715,0.00675384024607873,0.00498570441292602,0.00283286171578455,0.0194579262959052,0.00162389985233245,0.00720105142082031
